DATE;T10Y2Y;FEDFUNDS
1995-02-28;0.35789473684210527;5.92
1995-03-31;0.42913043478260876;5.98
1995-04-30;0.4947368421052632;6.05
1995-05-31;0.46181818181818185;6.01
1995-06-30;0.4522727272727273;6.0
1995-07-31;0.49800000000000005;5.85
1995-08-31;0.5073913043478261;5.74
1995-09-30;0.39150000000000007;5.8
1995-10-31;0.3476190476190476;5.76
1995-11-30;0.45142857142857135;5.8
1995-12-31;0.387;5.6
1996-01-31;0.54;5.56
1996-02-29;0.7799999999999999;5.22
1996-03-31;0.6076190476190476;5.31
1996-04-30;0.5540909090909092;5.22
1996-05-31;0.6418181818181816;5.24
1996-06-30;0.6149999999999998;5.27
1996-07-31;0.5954545454545453;5.4
1996-08-31;0.6063636363636363;5.22
1996-09-30;0.598;5.3
1996-10-31;0.6209090909090909;5.24
1996-11-30;0.5021052631578948;5.31
1996-12-31;0.5204761904761905;5.29
1997-01-31;0.570952380952381;5.25
1997-02-28;0.5210526315789474;5.19
1997-03-31;0.47250000000000003;5.39
1997-04-30;0.43727272727272726;5.51
1997-05-31;0.4342857142857143;5.5
1997-06-30;0.3990476190476191;5.56
1997-07-31;0.32954545454545453;5.52
1997-08-31;0.3595238095238096;5.54
1997-09-30;0.32666666666666666;5.54
1997-10-31;0.25772727272727275;5.5
1997-11-30;0.1622222222222222;5.52
1997-12-31;0.09363636363636368;5.5
1998-01-31;0.18750000000000006;5.56
1998-02-28;0.1568421052631579;5.51
1998-03-31;0.08590909090909095;5.49
1998-04-30;0.07333333333333336;5.45
1998-05-31;0.05900000000000001;5.49
1998-06-30;-0.023636363636363632;5.56
1998-07-31;0.0031818181818181815;5.54
1998-08-31;0.07333333333333333;5.55
1998-09-30;0.14047619047619048;5.51
1998-10-31;0.43809523809523804;5.07
1998-11-30;0.2873684210526316;4.83
1998-12-31;0.1386363636363636;4.68
1999-01-31;0.10684210526315793;4.63
1999-02-28;0.12263157894736845;4.76
1999-03-31;0.1795652173913043;4.81
1999-04-30;0.2077272727272727;4.74
1999-05-31;0.285;4.74
1999-06-30;0.2809090909090909;4.76
1999-07-31;0.23714285714285713;4.99
1999-08-31;0.260909090909091;5.07
1999-09-30;0.25333333333333335;5.22
1999-10-31;0.2495;5.2
